Addresses,Reprint Addresses
"[Tang, Yi; Yang, Hongyan] Hong Kong Polytech Univ, Kowloon, Hong Kong, Peoples R China; [Li, Jiatao] Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China","Tang, Y (corresponding author), Hong Kong Polytech Univ, Dept Management & Mkt, Kowloon, Hong Kong, Peoples R China."
"[Zhang, Xin-an] Shanghai Jiao Tong Univ, Shanghai 200052, Peoples R China; [Li, Ning] Univ Iowa, Iowa City, IA 52242 USA; [Ullrich, Johannes; van Dick, Rolf] Goethe Univ Frankfurt, Frankfurt, Germany","Zhang, XA (corresponding author), Shanghai Jiao Tong Univ, 535 Fahuazhen Rd, Shanghai 200052, Peoples R China."
"[Janssen, Onne] Univ Groningen, NL-9700 AV Groningen, Netherlands; [Gao, Liping] Chinese Acad Sci, Beijing 100864, Peoples R China","Janssen, O (corresponding author), Univ Groningen, Fac Econ & Business, POB 800, NL-9700 AV Groningen, Netherlands."
"[Ng, Thomas W. H.] Univ Hong Kong, Pok Fu Lam, Hong Kong, Peoples R China; [Feldman, Daniel C.] Univ Georgia, Athens, GA 30602 USA","Ng, TWH (corresponding author), Univ Hong Kong, Sch Business, Pok Fu Lam, Hong Kong, Peoples R China."
"[Way, Sean A.; Tracey, J. Bruce] Cornell Univ, Ithaca, NY 14853 USA; [Fay, Charles H.] Rutgers State Univ, Piscataway, NJ 08855 USA; [Wright, Patrick M.] Univ S Carolina, Columbia, SC 29208 USA; [Snell, Scott A.] Univ Virginia, Charlottesville, VA 22903 USA; [Chang, Song] Chinese Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China; [Gong, Yaping] Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China","Way, SA (corresponding author), Ecole Hoteliere Lausanne, Route Cojonnex 18, CH-1000 Lausanne 25, Switzerland."
"[Chiaburu, Dan S.; Stoverink, Adam C.] Texas A&M Univ, College Stn, TX 77843 USA; [Li, Ning] Univ Iowa, Iowa City, IA 52242 USA; [Zhang, Xin-an] Shanghai Jiao Tong Univ, Shanghai 200030, Peoples R China","Stoverink, AC (corresponding author), Texas A&M Univ, Dept Management, Mays Business Sch, 4221 TAMU, College Stn, TX 77843 USA."
"[van Dijke, Marius] Erasmus Univ, NL-3000 DR Rotterdam, Netherlands; [De Cremer, David] China Europe Int Business Sch, Beijing, Peoples R China; [Brebels, Lieven] European Univ Coll Brussels, Brussels, Belgium; [Brebels, Lieven] Univ Leuven, Leuven, Belgium; [Van Quaquebeke, Niels] Kuhne Logist Univ, Hamburg, Germany","van Dijke, M (corresponding author), Erasmus Univ, Rotterdam Sch Management, Dept Business Soc Management, POB 1738, NL-3000 DR Rotterdam, Netherlands."
"[Mellahi, Kamel] Univ Warwick, Coventry CV4 7AL, W Midlands, England; [Frynas, Jedrzej George] Middlesex Univ, London N17 8HR, England; [Sun, Pei] Fudan Univ, Shanghai, Peoples R China; [Siegel, Donald] SUNY Albany, Albany, NY 12222 USA","Mellahi, K (corresponding author), Univ Warwick, Warwick Business Sch, Coventry CV4 7AL, W Midlands, England."
"[Chuang, Chih-Hsun] Natl Chung Hsing Univ, Taichung, Taiwan; [Jackson, Susan E.] Rutgers State Univ, Piscataway, NJ 08855 USA; [Jackson, Susan E.] Lorange Inst Business, Zurich, Switzerland; [Jiang, Yuan] Indiana Univ Purdue Univ Ft Wayne, Ft Wayne, IN USA; [Jiang, Yuan] Shanghai Jiao Tong Univ, Shanghai 200030, Peoples R China","Chuang, CH (corresponding author), Natl Chung Hsing Univ, Dept Business Adm, 250 Kuo Kuang Rd, Taichung 402, Taiwan."
"[Kam, Chester] Univ Macau, Taipa, Macau, Peoples R China; [Morin, Alexandre J. S.] Univ Western Sydney, Penrith, NSW 1797, Australia; [Meyer, John P.] Univ Western Ontario, London, ON N6A 3K7, Canada; [Topolnytsky, Laryssa] Korn Ferry Int, Los Angeles, CA USA","Kam, C (corresponding author), Univ Macau, Fac Educ, Room J507A,5th Floor,Silver Jubilee Bldg, Taipa, Macau, Peoples R China.; Morin, AJS (corresponding author), Univ Western Sydney, Ctr Posit Psychol & Educ, Locked Bag 1797, Penrith, NSW 2751, Australia.; Meyer, JP (corresponding author), Univ Western Ontario, Dept Psychol, Social Sci Ctr, London, ON N6A 5C2, Canada."
"[Huang, Ying] Univ Massachusetts Lowell, Lowell, MA USA; [Luo, Yadong] Univ Miami, Coral Gables, FL 33124 USA; [Luo, Yadong] Sun Yat Sen Univ, Guangzhou, Guangdong, Peoples R China; [Liu, Yi] Shanghai Jiao Tong Univ, Shanghai 200030, Peoples R China; [Yang, Qian] South China Univ Technol, Guangzhou, Guangdong, Peoples R China","Luo, YD (corresponding author), Univ Miami, Sch Business Adm, Jenkins Bldg,417D, Coral Gables, FL 33124 USA."
"[Wang, Heli] Singapore Management Univ, Singapore 178902, Singapore; [Choi, Jaepil] Sungkyunkwan Univ, Seoul, South Korea; [Wan, Guoguang] Hong Kong Univ Sci & Technol, Hong Kong, Peoples R China; [Dong, John Qi] Univ Groningen, NL-9700 AB Groningen, Netherlands","Wan, GG (corresponding author), Hong Kong Univ Sci & Technol, Sch Business, Dept Management, Hong Kong, Hong Kong, Peoples R China."
"[Baranik, Lisa E.] East Carolina Univ, Greenville, NC USA; [Wang, Mo] Univ Florida, Gainesville, FL 32611 USA; [Gong, Yaping] Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China; [Shi, Junqi] Sun Yat Sen Univ, Guangzhou, Guangdong, Peoples R China","Shi, JQ (corresponding author), Sun Yat Sen Univ, Lingnan Univ Coll, Guangzhou 510275, Guangdong, Peoples R China."
"[Aryee, Samuel] Kings Coll London, London WC2R 2LS, England; [Walumbwa, Fred O.] Florida Int Univ, Miami, FL 33199 USA; [Mondejar, Reuben] City Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China; [Chu, Chris W. L.] Univ Surrey, Guildford GU2 5XH, Surrey, England","Aryee, S (corresponding author), Kings Coll London, Dept Management, 150 Stamford St, London SE1 9NH, England."
"[Gong, Yaping] Hong Kong Univ Sci & Technol, Kowloon, Hong Kong, Peoples R China; [Wang, Mo] Univ Florida, Gainesville, FL 32611 USA; [Wang, Mo] Sun Yat Sen Univ, Guangzhou, Guangdong, Peoples R China; [Huang, Jia-Chi] Natl Chengchi Univ, Taipei, Taiwan; [Cheung, Siu Yin] Hong Kong Baptist Univ, Hong Kong, Hong Kong, Peoples R China","Gong, YP (corresponding author), Hong Kong Univ Sci & Technol, Dept Management, Kowloon, Hong Kong, Peoples R China."
