Addresses,Reprint Addresses,第一作者,国内外合作,通讯作者
"[Baranik, Lisa E.] East Carolina Univ, Greenville, NC USA; [Wang, Mo] Univ Florida, Gainesville, FL 32611 USA; [Gong, Yaping] Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China; [Shi, Junqi] Sun Yat Sen Univ, Guangzhou, Guangdong, Peoples R China","Shi, JQ (corresponding author), Sun Yat Sen Univ, Lingnan Univ Coll, Guangzhou 510275, Guangdong, Peoples R China.",0,1,1
"[Aryee, Samuel] Kings Coll London, London WC2R 2LS, England; [Walumbwa, Fred O.] Florida Int Univ, Miami, FL 33199 USA; [Mondejar, Reuben] City Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China; [Chu, Chris W. L.] Univ Surrey, Guildford GU2 5XH, Surrey, England","Aryee, S (corresponding author), Kings Coll London, Dept Management, 150 Stamford St, London SE1 9NH, England.",0,0,0
"[Gong, Yaping] Hong Kong Univ Sci & Technol, Kowloon, Hong Kong, Peoples R China; [Wang, Mo] Univ Florida, Gainesville, FL 32611 USA; [Wang, Mo] Sun Yat Sen Univ, Guangzhou, Guangdong, Peoples R China; [Huang, Jia-Chi] Natl Chengchi Univ, Taipei, Taiwan; [Cheung, Siu Yin] Hong Kong Baptist Univ, Hong Kong, Hong Kong, Peoples R China","Gong, YP (corresponding author), Hong Kong Univ Sci & Technol, Dept Management, Kowloon, Hong Kong, Peoples R China.",0,1,0
"[Zhong, Weiguo] Peking Univ, Beijing, Peoples R China; [Su, Chenting; Yang, Zhilin] City Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China; [Peng, Jisheng] Nanjing Univ, 22 Hankou Rd, Nanjing, Jiangsu, Peoples R China","Peng, JS (corresponding author), Nanjing Univ, 22 Hankou Rd, Nanjing, Jiangsu, Peoples R China.",1,0,1
"[Xu, Erica] Hong Kong Baptist Univ, Kowloon Tong, Hong Kong, Peoples R China; [Huang, Xu] Hong Kong Polytech Univ, Hong Kong, Hong Kong, Peoples R China; [Robinson, Sandra L.] Univ British Columbia, Vancouver, BC, Canada","Xu, E (corresponding author), Hong Kong Baptist Univ, Dept Management, Kowloon Tong, Hong Kong, Peoples R China.",0,0,0
"[Lam, Long Wai] Univ Macau, Taipa, Macao, Peoples R China; [Peng, Kelly Z.] Hong Kong Shue Yan Univ, North Point, Hong Kong, Peoples R China; [Wong, Chi-Sum; Lau, Dora C.] Chinese Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China","Peng, KZ (corresponding author), Hong Kong Shue Yan Univ, Dept Business Adm, 10 Wai Tsui Crescent,Braemar Hill Rd, North Point, Hong Kong, Peoples R China.",0,0,0
"[Tse, Caleb H.] Sungkyunkwan Univ, Seoul, South Korea; [Yu, Linhui] Zhejiang Univ, Hangzhou, Zhejiang, Peoples R China; [Zhu, Jianjun] Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China","Yu, LH (corresponding author), Zhejiang Univ, Sch Econ, Hangzhou, Zhejiang, Peoples R China.",0,1,1
"[Zheng, Weiting] Hong Kong Polytech Univ, Kowloon, Hong Kong, Peoples R China; [Singh, Kul Want; Chung, Chi-Nien] Natl Univ Singapore, Sch Business, Singapore, Singapore","Zheng, WT (corresponding author), Hong Kong Polytech Univ, Kowloon, Hong Kong, Peoples R China.",0,0,0
"[Xu, Kehan] Sun Yat Sen Univ, Guangzhou, Guangdong, Peoples R China; [Tihanyi, Laszlo; Hitt, Michael A.] Texas A&M Univ, College Stn, TX 77843 USA","Xu, KH (corresponding author), Sun Yat Sen Univ, Sch Business, Off S580, Guangzhou 510275, Guangdong, Peoples R China.",1,0,1
"[Tang, Yi; Yang, Hongyan] Hong Kong Polytech Univ, Kowloon, Hong Kong, Peoples R China; [Li, Jiatao] Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China","Tang, Y (corresponding author), Hong Kong Polytech Univ, Dept Management & Mkt, Kowloon, Hong Kong, Peoples R China.",0,0,0
"[Zhang, Xin-an] Shanghai Jiao Tong Univ, Shanghai 200052, Peoples R China; [Li, Ning] Univ Iowa, Iowa City, IA 52242 USA; [Ullrich, Johannes; van Dick, Rolf] Goethe Univ Frankfurt, Frankfurt, Germany","Zhang, XA (corresponding author), Shanghai Jiao Tong Univ, 535 Fahuazhen Rd, Shanghai 200052, Peoples R China.",1,0,1
"[Janssen, Onne] Univ Groningen, NL-9700 AV Groningen, Netherlands; [Gao, Liping] Chinese Acad Sci, Beijing 100864, Peoples R China","Janssen, O (corresponding author), Univ Groningen, Fac Econ & Business, POB 800, NL-9700 AV Groningen, Netherlands.",0,1,0
"[Ng, Thomas W. H.] Univ Hong Kong, Pok Fu Lam, Hong Kong, Peoples R China; [Feldman, Daniel C.] Univ Georgia, Athens, GA 30602 USA","Ng, TWH (corresponding author), Univ Hong Kong, Sch Business, Pok Fu Lam, Hong Kong, Peoples R China.",0,0,0
"[Way, Sean A.; Tracey, J. Bruce] Cornell Univ, Ithaca, NY 14853 USA; [Fay, Charles H.] Rutgers State Univ, Piscataway, NJ 08855 USA; [Wright, Patrick M.] Univ S Carolina, Columbia, SC 29208 USA; [Snell, Scott A.] Univ Virginia, Charlottesville, VA 22903 USA; [Chang, Song] Chinese Univ Hong Kong, Hong Kong, Hong Kong, Peoples R China; [Gong, Yaping] Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China","Way, SA (corresponding author), Ecole Hoteliere Lausanne, Route Cojonnex 18, CH-1000 Lausanne 25, Switzerland.",0,0,0
"[Chiaburu, Dan S.; Stoverink, Adam C.] Texas A&M Univ, College Stn, TX 77843 USA; [Li, Ning] Univ Iowa, Iowa City, IA 52242 USA; [Zhang, Xin-an] Shanghai Jiao Tong Univ, Shanghai 200030, Peoples R China","Stoverink, AC (corresponding author), Texas A&M Univ, Dept Management, Mays Business Sch, 4221 TAMU, College Stn, TX 77843 USA.",0,1,0
"[van Dijke, Marius] Erasmus Univ, NL-3000 DR Rotterdam, Netherlands; [De Cremer, David] China Europe Int Business Sch, Beijing, Peoples R China; [Brebels, Lieven] European Univ Coll Brussels, Brussels, Belgium; [Brebels, Lieven] Univ Leuven, Leuven, Belgium; [Van Quaquebeke, Niels] Kuhne Logist Univ, Hamburg, Germany","van Dijke, M (corresponding author), Erasmus Univ, Rotterdam Sch Management, Dept Business Soc Management, POB 1738, NL-3000 DR Rotterdam, Netherlands.",0,1,0
